"filename", "language", "GDResource", "GDScene", "Markdown", "gdshader", "GDScript", "Properties", "JSON", "XML", "comment", "blank", "total"
"e:\Projects\ArkPvZ\README.md", "Markdown", 0, 0, 57, 0, 0, 0, 0, 0, 0, 31, 88
"e:\Projects\ArkPvZ\addons\DragNDropNodes\class_tree.gd", "GDScript", 0, 0, 0, 0, 414, 0, 0, 0, 5, 34, 453
"e:\Projects\ArkPvZ\addons\DragNDropNodes\icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\DragNDropNodes\icon.svg.import", "GDResource", 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"e:\Projects\ArkPvZ\addons\DragNDropNodes\plugin.cfg", "Properties", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"e:\Projects\ArkPvZ\addons\DragNDropNodes\plugin_script.gd", "GDScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"e:\Projects\ArkPvZ\addons\R2Ga_PVZ\R2Ga_PVZ.gd", "GDScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 6, 18
"e:\Projects\ArkPvZ\addons\R2Ga_PVZ\plugin.cfg", "Properties", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"e:\Projects\ArkPvZ\addons\R2Ga_PVZ\ui\main_panel.gd", "GDScript", 0, 0, 0, 0, 165, 0, 0, 0, 48, 54, 267
"e:\Projects\ArkPvZ\addons\R2Ga_PVZ\ui\main_panel.tscn", "GDScene", 0, 253, 0, 0, 0, 0, 0, 0, 0, 59, 312
"e:\Projects\ArkPvZ\addons\R2Ga_PVZ\ui\new_style_box_flat.tres", "GDResource", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Clear.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Clear.svg.import", "GDResource", 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Common\signal_connection.gd", "GDScript", 0, 0, 0, 0, 29, 0, 0, 0, 16, 14, 59
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Common\signal_description.gd", "GDScript", 0, 0, 0, 0, 26, 0, 0, 0, 16, 15, 57
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Common\signal_graph.gd", "GDScript", 0, 0, 0, 0, 26, 0, 0, 0, 16, 12, 54
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Common\signal_graph_utility.gd", "GDScript", 0, 0, 0, 0, 133, 0, 0, 0, 2, 36, 171
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Debugger\SignalDebugger.gd", "GDScript", 0, 0, 0, 0, 65, 0, 0, 0, 66, 16, 147
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Debugger\SignalDebugger.tscn", "GDScene", 0, 82, 0, 0, 0, 0, 0, 0, 0, 16, 98
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Debugger\signal_debugger_panel.gd", "GDScript", 0, 0, 0, 0, 138, 0, 0, 0, 18, 37, 193
"e:\Projects\ArkPvZ\addons\SignalVisualizer\GraphEdit.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\SignalVisualizer\GraphEdit.svg.import", "GDResource", 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Play.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Play.svg.import", "GDResource", 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"e:\Projects\ArkPvZ\addons\SignalVisualizer\SignalVisualizer.gd", "GDScript", 0, 0, 0, 0, 111, 0, 0, 0, 16, 36, 163
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Stop.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Stop.svg.import", "GDResource", 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Visualizer\resizable_label.gd", "GDScript", 0, 0, 0, 0, 4, 0, 0, 0, 16, 12, 32
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Visualizer\signal_graph_node.gd", "GDScript", 0, 0, 0, 0, 54, 0, 0, 0, 16, 25, 95
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Visualizer\signal_graph_node.tscn", "GDScene", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Visualizer\signal_graph_node_item.gd", "GDScript", 0, 0, 0, 0, 27, 0, 0, 0, 16, 15, 58
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Visualizer\signal_graph_node_item.tscn", "GDScene", 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Visualizer\signal_visualizer_dock.gd", "GDScript", 0, 0, 0, 0, 33, 0, 0, 0, 16, 19, 68
"e:\Projects\ArkPvZ\addons\SignalVisualizer\Visualizer\signal_visualizer_dock.tscn", "GDScene", 0, 64, 0, 0, 0, 0, 0, 0, 0, 15, 79
"e:\Projects\ArkPvZ\addons\SignalVisualizer\plugin.cfg", "Properties", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"e:\Projects\ArkPvZ\addons\anim_delete_track\anim_delete_track.gd", "GDScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 6, 18
"e:\Projects\ArkPvZ\addons\anim_delete_track\plugin.cfg", "Properties", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"e:\Projects\ArkPvZ\addons\anim_delete_track\ui\main_panel.gd", "GDScript", 0, 0, 0, 0, 108, 0, 0, 0, 8, 32, 148
"e:\Projects\ArkPvZ\addons\anim_delete_track\ui\main_panel.tscn", "GDScene", 0, 112, 0, 0, 0, 0, 0, 0, 0, 29, 141
"e:\Projects\ArkPvZ\addons\anim_free_common_tracks\anim_free.gd", "GDScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"e:\Projects\ArkPvZ\addons\anim_free_common_tracks\plugin.cfg", "Properties", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"e:\Projects\ArkPvZ\addons\anim_free_common_tracks\ui\main_panel.gd", "GDScript", 0, 0, 0, 0, 266, 0, 0, 0, 0, 49, 315
"e:\Projects\ArkPvZ\addons\anim_free_common_tracks\ui\main_panel.tscn", "GDScene", 0, 147, 0, 0, 0, 0, 0, 0, 0, 35, 182
"e:\Projects\ArkPvZ\addons\anim_player_refactor\lib\anim_player_refactor.gd", "GDScript", 0, 0, 0, 0, 136, 0, 0, 0, 9, 63, 208
